"day","value"
2014-06-02,149.583644767
2014-06-03,148.481333457
2014-06-04,148.591564588
2014-06-05,148.701795719
2014-06-06,148.81202685
2014-06-07,148.922257981
2014-06-08,149.473413636
2014-06-09,149.363182505
2014-06-10,149.142720243
2014-06-11,149.583644767
2014-06-12,150.134800422
2014-06-13,149.693875898
2014-06-14,148.150640064
2014-06-15,149.804107029
2014-06-16,149.363182505
2014-06-17,149.583644767
2014-06-18,149.91433816
2014-06-19,149.363182505
2014-06-20,149.252951374
2014-06-21,149.252951374
2014-06-22,149.032489112
2014-06-23,149.142720243
2014-06-24,149.363182505
2014-06-25,149.473413636
2014-06-26,149.142720243
2014-06-27,148.81202685
2014-06-28,148.701795719
2014-06-30,149.252951374
2014-07-01,148.260871195
2014-07-02,148.481333457
2014-07-03,148.260871195
2014-07-04,148.81202685
2014-07-05,148.81202685
2014-07-06,148.922257981
2014-07-07,148.260871195
2014-07-08,148.922257981
2014-07-09,148.701795719
2014-07-10,148.922257981
2014-07-11,148.701795719
2014-07-12,148.81202685
2014-07-13,148.81202685
2014-07-15,148.81202685
2014-07-16,148.701795719
2014-07-17,148.81202685
2014-07-18,148.922257981
2014-07-19,148.701795719
2014-07-20,149.473413636
2014-07-21,149.693875898
2014-07-22,149.804107029
2014-07-23,149.142720243
2014-07-24,148.481333457
2014-07-25,148.81202685
2014-07-26,148.701795719
2014-07-27,148.591564588
2014-07-28,148.481333457
2014-07-29,147.70971554
2014-07-30,148.150640064
2014-07-31,149.363182505
2014-08-01,147.048328754
2014-08-02,147.599484409
2014-08-03,149.032489112
2014-08-04,146.827866492
2014-08-05,148.81202685
2014-08-06,149.363182505
2014-08-07,149.363182505
2014-08-08,148.591564588
2014-08-09,147.930177802
2014-08-20,148.701795719
2014-08-21,148.922257981
2014-08-22,148.040408933
2014-08-23,148.481333457
2014-08-24,147.70971554
2014-08-25,148.371102326
2014-08-26,149.032489112
2014-08-27,149.142720243
2014-08-28,149.032489112
2014-08-29,149.363182505
2014-08-30,148.922257981
2014-08-31,149.032489112
2014-09-01,150.024569291
2014-09-02,149.804107029
2014-09-03,148.040408933
2014-09-04,150.134800422
2014-09-05,150.245031553
2014-09-06,151.347342863
2014-09-07,149.473413636
2014-09-08,149.252951374
2014-09-09,149.693875898
2014-09-10,149.473413636
2014-09-12,149.91433816
2014-09-13,148.922257981
2014-09-14,149.363182505
2014-09-15,150.355262684
2014-09-16,150.245031553
2014-09-17,149.473413636
2014-09-18,149.91433816
2014-09-19,150.245031553
2014-09-20,149.252951374
2014-09-21,150.134800422
2014-09-22,149.473413636
2014-09-23,149.363182505
2014-09-24,148.481333457
2014-09-25,148.481333457
2014-09-26,149.804107029
2014-09-27,149.693875898
2014-09-28,150.575724946
2014-09-29,150.906418339
2014-09-30,150.245031553
2014-10-01,149.583644767
2014-10-02,150.245031553
2014-10-03,150.024569291
2014-10-04,150.685956077
2014-10-05,149.693875898
2014-10-06,148.481333457
2014-10-07,148.591564588
2014-10-08,148.591564588
2014-10-09,149.032489112
2014-10-10,148.260871195
2014-10-11,149.583644767
2014-10-12,148.591564588
2014-10-13,150.024569291
2014-10-14,149.252951374
2014-10-15,149.142720243
2014-10-16,149.473413636
2014-10-17,149.693875898
2014-10-18,150.906418339
2014-10-19,151.678036256
2014-10-20,150.685956077
2014-10-21,151.567805125
2014-10-22,152.559885304
2014-10-23,151.126880601
2014-10-24,151.678036256
2014-10-25,150.796187208
2014-10-26,150.134800422
2014-10-27,150.465493815
2014-10-28,150.465493815
2014-10-29,150.575724946
2014-10-30,150.024569291
2014-10-31,150.245031553
2014-11-01,150.355262684
2014-11-02,149.693875898
2014-11-03,150.134800422
2014-11-04,149.693875898
2014-11-05,148.922257981
2014-11-06,148.481333457
2014-11-07,150.134800422
2014-11-09,150.355262684
2014-11-10,151.126880601
2014-11-11,150.796187208
2014-11-12,150.355262684
2014-11-13,149.91433816
2014-11-14,149.032489112
2014-11-15,148.81202685
2014-11-16,148.922257981
2014-11-17,148.150640064
2014-11-18,148.040408933
2014-11-19,148.040408933
2014-11-20,148.150640064
2014-11-21,148.591564588
2014-11-22,148.591564588
2014-11-23,147.930177802
2014-11-24,148.81202685
2014-11-25,149.363182505
2014-11-26,149.91433816
2014-11-27,147.930177802
2014-11-28,147.930177802
2014-11-29,148.150640064
2014-12-01,148.481333457
2014-12-02,147.930177802
2014-12-03,147.70971554
2014-12-04,147.048328754
2014-12-05,147.158559885
2014-12-06,147.268791016
2014-12-07,147.048328754
2014-12-08,146.938097623
2014-12-09,146.60740423
2014-12-10,147.819946671
2014-12-11,147.158559885
2014-12-12,147.379022147
2014-12-13,146.386941968
2014-12-14,146.497173099
2014-12-15,146.938097623
2014-12-16,146.497173099
2014-12-17,146.938097623
2014-12-18,146.497173099
2014-12-19,146.056248575
2014-12-20,146.386941968
2014-12-21,145.394861789
2014-12-22,145.835786313
2014-12-23,145.284630658
2014-12-24,146.276710837
2014-12-25,145.946017444
2014-12-26,146.166479706
2014-12-27,146.497173099
2014-12-28,145.725555182
2014-12-29,146.386941968
2014-12-30,146.166479706
2014-12-31,149.252951374
2015-01-01,147.819946671
2015-01-02,146.827866492
2015-01-03,147.599484409
2015-01-04,146.497173099
2015-01-05,145.835786313
2015-01-06,146.166479706
2015-01-07,146.386941968
2015-01-08,146.60740423
2015-01-09,146.60740423
2015-01-10,146.717635361
2015-01-11,146.497173099
2015-01-12,145.946017444
2015-01-13,145.615324051
2015-01-14,146.938097623
2015-01-15,146.497173099
2015-01-16,147.379022147
2015-01-17,146.827866492
2015-01-18,147.70971554
2015-01-19,147.599484409
2015-01-20,147.268791016
2015-01-21,146.717635361
2015-01-22,146.827866492
2015-01-23,146.60740423
2015-01-24,146.60740423
2015-01-25,145.946017444
2015-01-26,146.717635361
2015-01-27,145.835786313
2015-01-28,145.946017444
2015-01-29,146.166479706
2015-01-30,146.386941968
2015-01-31,146.938097623
2015-02-01,147.048328754
2015-02-02,146.938097623
2015-02-03,145.835786313
2015-02-04,145.725555182
2015-02-05,145.946017444
2015-02-06,146.056248575
2015-02-07,146.166479706
2015-02-08,147.268791016
2015-02-09,146.717635361
2015-02-10,146.60740423
