"day","value"
2015-10-18,13825
2015-10-19,6017
2015-10-20,9096
2015-10-21,9771
2015-10-22,6277
2015-10-23,4498
2015-10-24,10095
2015-10-25,9721
2015-10-26,8312
2015-10-27,1146
2015-10-28,2073
2015-10-29,11842
2015-10-30,14429
2015-10-31,13177
2015-11-01,10295
2015-11-02,15947
2015-11-03,3474
2015-11-04,12704
2015-11-05,8295
2015-11-06,2561
2015-11-07,1422
2015-11-08,5272
2015-11-09,14582
2015-11-10,1673
2015-11-11,2106
2015-11-12,3905
2015-11-13,7348
2015-11-14,7736
2015-11-15,9202
2015-11-16,7810
2015-11-17,7826
2015-11-18,10154
2015-11-19,8171
2015-11-20,5156
2015-11-21,5482
2015-11-22,11469
2015-11-23,8077
2015-11-24,5586
2015-11-25,8856
2015-11-26,2604
2015-11-27,7874
2015-11-28,6812
2015-11-29,5413
2015-11-30,2905
2015-12-01,5306
2015-12-02,5459
2015-12-03,5964
2015-12-04,7127
2015-12-05,7474
2015-12-06,165
2015-12-12,4866
2015-12-13,8637
2015-12-14,6724
2015-12-15,8333
2015-12-16,11598
2015-12-17,5852
2015-12-18,5367
2015-12-19,7381
2015-12-20,11723
2015-12-21,9194
2015-12-22,5735
2015-12-23,8358
2015-12-24,4943
2015-12-25,11148
2015-12-26,4808
2015-12-27,4765
2015-12-28,4640
2015-12-29,4473
2015-12-30,9258
2015-12-31,5359
2016-01-01,4816
2016-01-02,887
2016-01-03,4239
2016-01-04,6754
2016-01-05,4404
2016-01-06,8351
2016-01-07,6925
2016-01-08,8799
2016-01-09,5220
2016-01-10,7730
2016-01-11,3919
2016-01-12,9029
2016-01-13,4713
2016-01-14,7381
2016-01-15,3089
2016-01-16,3440
2016-01-17,8388
2016-01-18,7318
2016-01-19,7985
2016-01-20,9459
2016-01-21,6194
2016-01-22,5735
2016-01-23,3661
2016-01-24,9150
2016-01-25,9240
2016-01-26,6632
2016-01-27,4626
2016-01-28,2737
2016-01-29,5392
2016-01-30,3958
2016-01-31,8511
2016-02-01,8087
2016-02-02,4208
2016-02-03,6924
2016-02-04,9302
2016-02-05,5814
2016-02-06,12804
2016-02-07,5728
2016-02-08,3678
2016-02-09,7653
2016-02-10,3097
2016-02-11,3762
2016-02-12,3933
2016-02-13,6530
2016-02-14,3571
2016-02-15,5196
2016-02-16,10585
2016-02-17,9512
2016-02-18,7302
2016-02-19,7328
2016-02-20,5407
2016-02-21,9659
2016-02-22,3897
2016-02-27,9684
2016-02-28,10744
2016-02-29,6591
2016-03-01,6394
2016-03-02,6610
2016-03-03,9459
2016-03-04,8961
2016-03-05,6370
2016-03-06,4457
2016-03-07,4226
2016-03-08,4772
2016-03-09,5612
2016-03-10,7779
2016-03-11,6934
2016-03-12,6872
2016-03-13,9592
2016-03-14,6193
2016-03-15,9740
2016-03-16,7913
2016-03-17,6388
2016-03-18,8618
2016-03-19,8971
2016-03-20,7763
2016-03-21,7884
2016-03-22,9993
2016-03-23,8884
2016-03-24,18016
2016-03-25,13697
2016-03-26,21435
2016-03-27,22439
2016-03-28,12682
2016-03-29,13039
2016-03-30,19568
2016-03-31,17903
2016-04-01,11508
2016-04-02,15469
2016-04-03,16040
2016-04-04,12692
2016-04-05,19299
2016-04-06,5426
2016-04-07,6806
2016-04-08,7139
2016-04-09,6456
2016-04-10,5124
2016-04-11,5554
2016-04-12,6584
2016-04-13,8184
2016-04-14,7562
2016-04-15,6655
2016-04-16,6929
2016-04-17,4576
2016-04-18,3903
2016-04-19,6547
2016-04-20,6491
2016-04-21,5068
2016-04-22,6489
2016-04-23,3042
2016-04-24,6340
2016-04-25,6416
2016-04-26,5764
2016-04-27,5646
2016-04-28,5876
2016-04-29,5238
2016-04-30,4827
2016-05-01,4687
2016-05-02,7158
2016-05-03,5414
2016-05-04,7396
2016-05-05,7478
2016-05-06,6540
2016-05-07,6188
2016-05-08,9208
2016-05-09,5054
2016-05-10,7680
2016-05-11,7621
2016-05-12,8727
2016-05-25,1338
2016-05-26,5990
2016-05-27,10962
2016-05-28,7256
2016-05-29,10682
2016-05-30,8974
2016-05-31,6015
2016-06-01,5773
2016-06-02,3824
2016-06-03,7048
2016-06-04,8906
2016-06-05,6183
2016-06-06,5480
2016-06-07,8892
