,Date,Weight,Steps
432,2013-10-11,157.079361675,4635
433,2013-10-12,157.520286199,4763
434,2013-10-13,157.189592806,5120
435,2013-10-14,157.520286199,6087
436,2013-10-15,156.52820602,5678
437,2013-10-16,157.189592806,5591
438,2013-10-17,155.977050365,6562
439,2013-10-18,156.52820602,7041
440,2013-10-19,156.52820602,7692
441,2013-10-20,156.638437151,2622
442,2013-10-22,155.095201317,5655
443,2013-10-23,155.866819234,6797
444,2013-10-24,155.75658810299998,7335
445,2013-10-25,156.307743758,9936
446,2013-10-26,156.969130544,6054
447,2013-10-27,157.079361675,4312
448,2013-10-28,156.087281496,7134
449,2013-10-29,156.087281496,9331
450,2013-10-30,155.977050365,6258
451,2013-10-31,155.536125841,5571
452,2013-11-01,154.544045662,8230
453,2013-11-02,155.536125841,7432
454,2013-11-03,155.536125841,7778
455,2013-11-04,155.866819234,6181
456,2013-11-06,154.764507924,704
457,2013-11-07,155.20543244799998,7705
458,2013-11-08,154.65427679299998,7052
459,2013-11-09,154.764507924,8405
460,2013-11-10,156.307743758,6581
461,2013-11-11,154.984970186,7309
462,2013-11-12,155.646356972,5879
463,2013-11-13,155.095201317,7806
464,2013-11-14,154.3235834,7169
465,2013-11-15,153.441734352,8198
466,2013-11-16,154.21335226899998,7121
467,2013-11-17,154.764507924,7461
468,2013-11-18,153.441734352,7898
469,2013-11-19,153.992890007,7002
470,2013-11-20,154.433814531,8493
471,2013-11-21,154.874739055,3295
472,2013-11-22,154.544045662,2108
473,2013-11-23,155.42589471,2579
474,2013-11-24,154.874739055,4929
475,2013-11-25,155.095201317,5664
476,2013-11-26,154.65427679299998,6238
477,2013-11-27,154.21335226899998,7138
478,2013-11-28,154.21335226899998,8740
479,2013-11-29,153.772427745,3535
480,2013-11-30,153.662196614,6356
481,2013-12-01,154.874739055,5648
482,2013-12-02,155.42589471,4350
483,2013-12-03,155.646356972,12979
484,2013-12-04,156.969130544,15859
485,2013-12-05,157.189592806,13596
486,2013-12-06,156.969130544,13554
487,2013-12-07,155.75658810299998,15358
488,2013-12-08,155.75658810299998,7268
489,2013-12-09,155.095201317,4384
490,2013-12-10,155.75658810299998,6420
491,2013-12-11,155.315663579,6888
492,2013-12-12,155.42589471,14143
493,2013-12-13,155.866819234,4868
494,2013-12-14,156.52820602,3957
495,2013-12-15,156.197512627,4864
496,2013-12-16,155.20543244799998,5952
497,2013-12-17,155.646356972,8570
498,2013-12-18,155.42589471,8134
499,2013-12-19,155.20543244799998,8465
500,2013-12-20,154.984970186,6702
501,2013-12-21,154.764507924,7165
502,2013-12-22,154.874739055,9041
503,2013-12-23,154.21335226899998,6730
504,2013-12-24,154.874739055,5984
505,2013-12-25,155.315663579,3550
506,2013-12-26,153.772427745,4949
507,2013-12-27,154.544045662,3628
508,2013-12-28,154.3235834,5895
509,2013-12-29,155.095201317,5193
510,2013-12-30,154.3235834,2481
511,2013-12-31,154.764507924,5380
512,2014-01-01,154.764507924,7929
513,2014-01-02,153.882658876,5288
514,2014-01-03,153.882658876,6921
515,2014-01-04,153.992890007,5243
516,2014-01-05,154.984970186,5551
517,2014-01-06,153.992890007,4857
518,2014-01-07,154.874739055,7152
519,2014-01-08,154.65427679299998,6384
520,2014-01-09,153.992890007,6235
521,2014-01-10,153.882658876,5272
522,2014-01-11,153.662196614,6372
523,2014-01-12,154.874739055,6886
524,2014-01-13,154.433814531,7651
525,2014-01-14,154.103121138,8969
526,2014-01-15,153.992890007,6758
527,2014-01-16,153.551965483,7905
528,2014-01-18,154.103121138,7294
529,2014-01-19,154.103121138,8227
530,2014-01-20,154.103121138,8989
531,2014-01-21,153.331503221,8785
532,2014-01-22,154.21335226899998,3518
533,2014-01-23,153.331503221,6719
534,2014-01-24,153.331503221,5069
535,2014-01-25,154.103121138,8107
536,2014-01-26,153.772427745,5699
537,2014-01-27,154.544045662,6237
538,2014-01-28,154.65427679299998,5423
539,2014-01-29,153.000809828,4108
540,2014-01-30,152.890578697,4947
541,2014-01-31,153.22127209,7134
542,2014-02-01,153.551965483,4916
543,2014-02-02,153.22127209,4935
544,2014-02-03,154.21335226899998,6175
545,2014-02-04,153.662196614,4365
546,2014-02-05,152.890578697,8076
547,2014-02-06,152.559885304,4141
548,2014-02-07,152.11896078,5449
549,2014-02-08,152.78034756600002,2589
550,2014-02-09,153.22127209,8380
551,2014-02-10,154.103121138,6723
552,2014-02-11,153.662196614,6380
553,2014-02-12,152.559885304,4809
554,2014-02-13,153.441734352,10673
555,2014-02-14,153.000809828,7809
556,2014-02-15,153.992890007,8803
557,2014-02-16,154.433814531,9538
558,2014-02-17,153.882658876,5706
559,2014-02-18,153.441734352,5873
560,2014-02-19,153.441734352,6725
561,2014-02-21,153.22127209,5460
562,2014-02-22,154.764507924,7487
563,2014-02-23,154.103121138,3031
564,2014-02-24,155.646356972,7804
565,2014-02-25,154.984970186,4995
566,2014-02-26,155.42589471,4620
567,2014-02-27,155.646356972,8832
568,2014-02-28,155.536125841,6027
569,2014-03-01,155.42589471,3458
570,2014-03-02,155.095201317,3132
571,2014-03-03,154.874739055,5574
572,2014-03-05,153.441734352,7738
573,2014-03-06,154.103121138,7711
574,2014-03-07,153.551965483,6230
575,2014-03-09,153.662196614,7282
576,2014-03-10,153.441734352,7057
577,2014-03-11,153.551965483,7497
578,2014-03-12,152.22919191100002,6785
579,2014-03-13,152.670116435,8080
580,2014-03-14,152.33942304200002,6270
581,2014-03-15,153.000809828,9692
582,2014-03-16,153.111040959,7215
583,2014-03-17,153.331503221,7709
584,2014-03-18,153.882658876,7060
585,2014-03-19,154.433814531,7222
586,2014-03-20,154.21335226899998,7104
587,2014-03-21,154.764507924,7207
588,2014-03-22,155.20543244799998,5926
589,2014-03-23,154.103121138,7493
590,2014-03-24,153.882658876,7369
591,2014-03-25,154.21335226899998,7118
592,2014-03-26,153.551965483,7081
593,2014-03-27,152.670116435,7542
594,2014-03-28,153.22127209,5712
595,2014-03-29,153.331503221,7453
596,2014-03-30,153.111040959,7741
597,2014-03-31,152.670116435,4407
598,2014-04-01,151.678036256,7726
599,2014-04-02,152.449654173,7900
600,2014-04-03,152.449654173,7657
601,2014-04-04,152.008729649,7719
602,2014-04-05,151.347342863,7587
603,2014-04-06,151.78826738700002,7915
604,2014-04-07,151.78826738700002,9994
605,2014-04-08,152.559885304,6027
606,2014-04-09,152.890578697,7521
607,2014-04-10,152.11896078,5866
608,2014-04-11,152.008729649,11071
609,2014-04-12,152.449654173,6461
610,2014-04-13,151.78826738700002,5541
611,2014-04-14,151.23711173200002,7482
612,2014-04-15,151.678036256,8468
613,2014-04-16,152.008729649,8346
614,2014-04-17,151.567805125,6774
615,2014-04-18,150.575724946,10886
616,2014-04-19,150.68595607700001,4957
617,2014-04-20,150.796187208,5547
618,2014-04-21,151.678036256,5982
619,2014-04-22,151.457573994,9011
620,2014-04-24,151.347342863,6066
621,2014-04-25,151.126880601,4429
622,2014-04-26,150.355262684,10242
623,2014-04-27,151.23711173200002,7509
624,2014-04-28,151.678036256,7798
625,2014-04-29,151.23711173200002,7660
626,2014-04-30,152.22919191100002,7726
627,2014-05-01,150.68595607700001,9176
628,2014-05-03,151.347342863,6831
629,2014-05-04,151.126880601,8232
630,2014-05-05,150.355262684,8070
631,2014-05-06,152.11896078,11348
632,2014-05-07,151.678036256,9135
633,2014-05-08,151.678036256,8186
634,2014-05-09,151.126880601,7943
635,2014-05-10,151.126880601,7545
636,2014-05-11,151.01664947,7676
637,2014-05-12,150.355262684,7808
638,2014-05-13,150.906418339,7733
639,2014-05-14,149.804107029,8180
640,2014-05-15,149.583644767,8991
641,2014-05-16,149.14272024299999,10228
642,2014-05-17,149.363182505,6379
643,2014-05-18,149.363182505,7512
644,2014-05-19,150.134800422,7867
645,2014-05-20,149.032489112,7519
646,2014-05-21,149.583644767,7974
647,2014-05-22,149.583644767,7600
648,2014-05-23,149.91433816,7569
649,2014-05-24,148.81202685,5282
650,2014-05-25,149.583644767,7578
651,2014-05-26,149.804107029,7893
652,2014-05-27,149.032489112,9088
653,2014-05-28,150.134800422,9962
654,2014-05-29,149.14272024299999,7180
655,2014-05-30,150.024569291,5615
656,2014-05-31,149.473413636,5828
657,2014-06-01,149.91433816,3510
658,2014-06-02,149.583644767,5595
659,2014-06-03,148.481333457,4799
660,2014-06-04,148.59156458799998,6008
661,2014-06-05,148.701795719,4575
662,2014-06-06,148.81202685,5885
663,2014-06-07,148.922257981,6069
664,2014-06-08,149.473413636,5867
665,2014-06-09,149.363182505,5135
666,2014-06-10,149.14272024299999,5262
667,2014-06-11,149.583644767,5313
668,2014-06-12,150.134800422,5248
669,2014-06-13,149.693875898,5074
